track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Asphalt Cowboy (IRE),Mr M N Sharpe,7,Stephen Gerard Carey,1st,N/A,7,12-0p,-,True,176,33
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Grange Soldier (IRE),Mr P A King,5,William P Murphy,8th,1 1/4 l,7,12-0p1,105,True,176,33
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Macgiloney (IRE),Mr J P Sampson,7,D Hogan,7th,9 l,12,12-0p,121,True,176,33
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Vina Ardanza (IRE),Mr B O'Neill,0,C A McBratney,6th,13 l,8,12-0,130,True,176,33
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Champagne Court (IRE),Mr A P Kennedy,7,A Kennedy,5th,3 3/4 l,12,12-0,116,True,176,33
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Ontheropes (IRE),Mr C Mullins,7,T Mullins,4th,1/2 l,11,12-0,140,True,176,33
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Eyes Off Annie (IRE),Mr E Mahon,7,Ian McCarthy,3rd,3 l,7,11-7,-,True,176,33
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Gorthill (FR),Mr N McParlan,0,Caroline Mccaldin,2nd,Neck,9,12-0,-,True,176,33
Downpatrick Racing Results | 23rd May 2025 19:37,N/A,19:37,Good,3m 4f 165y,Asphalt Cowboy (IRE),Mr M N Sharpe,7,Stephen Gerard Carey,1st,N/A,7,12-0p,-,True,176,33
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Noble Name (IRE),Mr D O'Sullivan,7,C O'Connell,S,N/A,5,11-7ht,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Coded Welder (IRE),Mr A J Lord,7,Paul Mulligan,RO,N/A,6,12-0t1,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Glenary (IRE),Mr A P Kennedy,7,A Kennedy,PU,N/A,5,12-0,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Chosen Leader (IRE),Miss M Carlin,7,Stephen Carlin,5th,5 1/2 l,5,12-0t1,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Better Times (IRE),Mr M N Sharpe,7,Stephen Gerard Carey,4th,2 l,5,12-0,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Moody Girl (IRE),Mr J W Hendrick,7,Ian Donoghue,3rd,21 l,5,11-7,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Coolboy Christy (IRE),Miss P Elvin,7,P J Rothwell,2nd,15 l,4,11-8,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Cinammon Roll (FR),Mr H C Swan,0,G Elliott,1st,N/A,5,12-0,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Noble Name (IRE),Mr D O'Sullivan,7,C O'Connell,S,N/A,5,11-7ht,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Coded Welder (IRE),Mr A J Lord,7,Paul Mulligan,RO,N/A,6,12-0t1,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Glenary (IRE),Mr A P Kennedy,7,A Kennedy,PU,N/A,5,12-0,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Chosen Leader (IRE),Miss M Carlin,7,Stephen Carlin,5th,5 1/2 l,5,12-0t1,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Better Times (IRE),Mr M N Sharpe,7,Stephen Gerard Carey,4th,2 l,5,12-0,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Moody Girl (IRE),Mr J W Hendrick,7,Ian Donoghue,3rd,21 l,5,11-7,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Coolboy Christy (IRE),Miss P Elvin,7,P J Rothwell,2nd,15 l,4,11-8,-,True,176,34
Downpatrick Racing Results | 23rd May 2025 20:07,N/A,20:07,Good,2m 1f 165y,Cinammon Roll (FR),Mr H C Swan,0,G Elliott,1st,N/A,5,12-0,-,True,176,34
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Canon Law (IRE),D P McDonogh,0,B W Duke,21st,1 1/4 l,2,9-1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Moonlight Molly (IRE),C D Hayes,0,J G Coogan,20th,2 1/2 l,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Army Leave (IRE),W Joyce,3,M Mulvany,19th,1 l,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Manifest Destiny (IRE),W J Lee,0,A Oliver,18th,1/2 l,2,9-5,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Castelluccia (IRE),L F Roche,0,Kevin Coleman,17th,3 1/2 l,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Allsortz (IRE),L T McAteer,0,D Marnane,16th,Head,2,9-7,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Sup Of Red (IRE),J J G Ryan,3,J Davison,15th,3/4 l,2,8-10,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Dakota Dancer (IRE),J M Sheridan,0,H De Bromhead,14th,Head,2,8-10,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,All Hail (IRE),G F Carroll,0,A Oliver,13th,Head,2,9-1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Cuban Princess,D McMonagle,0,J P O'Brien,12th,Neck,2,9-2,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Bay Of Supremacy (IRE),B M Coen,0,J P Murtagh,11th,Neck,2,9-1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Rosie Frith (IRE),J A Powell,3,P Magee,10th,Neck,2,8-8h1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Femme Beauty (IRE),N G McCullagh,0,K J Condon,9th,1/2 l,2,8-10,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Sara La Belle (IRE),R P Cleary,0,A McGuinness,8th,Neck,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Beware Of The Bear (IRE),N M Crosse,0,D Marnane,7th,Neck,2,8-13,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Noodles,C T Keane,0,John O'Donoghue,6th,1/2 l,2,9-1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Parkside Lad (IRE),J A Heffernan,0,W Durkan,5th,3/4 l,2,8-13,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Glitter And Glory (IRE),S Foley,0,Mrs J Harrington,4th,3/4 l,2,8-10,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Cortina D'amprezzo (IRE),R C Colgan,0,Kevin Coleman,3rd,1 1/4 l,2,8-12,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Later Than Planned (IRE),Adam Caffrey,0,A McGuinness,2nd,5 1/2 l,2,8-13,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Ipanema Queen (IRE),W M Lordan,0,A Murray,1st,N/A,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Canon Law (IRE),D P McDonogh,0,B W Duke,21st,1 1/4 l,2,9-1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Moonlight Molly (IRE),C D Hayes,0,J G Coogan,20th,2 1/2 l,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Army Leave (IRE),W Joyce,3,M Mulvany,19th,1 l,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Manifest Destiny (IRE),W J Lee,0,A Oliver,18th,1/2 l,2,9-5,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Castelluccia (IRE),L F Roche,0,Kevin Coleman,17th,3 1/2 l,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Allsortz (IRE),L T McAteer,0,D Marnane,16th,Head,2,9-7,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Sup Of Red (IRE),J J G Ryan,3,J Davison,15th,3/4 l,2,8-10,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Dakota Dancer (IRE),J M Sheridan,0,H De Bromhead,14th,Head,2,8-10,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,All Hail (IRE),G F Carroll,0,A Oliver,13th,Head,2,9-1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Cuban Princess,D McMonagle,0,J P O'Brien,12th,Neck,2,9-2,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Bay Of Supremacy (IRE),B M Coen,0,J P Murtagh,11th,Neck,2,9-1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Rosie Frith (IRE),J A Powell,3,P Magee,10th,Neck,2,8-8h1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Femme Beauty (IRE),N G McCullagh,0,K J Condon,9th,1/2 l,2,8-10,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Sara La Belle (IRE),R P Cleary,0,A McGuinness,8th,Neck,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Beware Of The Bear (IRE),N M Crosse,0,D Marnane,7th,Neck,2,8-13,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Noodles,C T Keane,0,John O'Donoghue,6th,1/2 l,2,9-1,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Parkside Lad (IRE),J A Heffernan,0,W Durkan,5th,3/4 l,2,8-13,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Glitter And Glory (IRE),S Foley,0,Mrs J Harrington,4th,3/4 l,2,8-10,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Cortina D'amprezzo (IRE),R C Colgan,0,Kevin Coleman,3rd,1 1/4 l,2,8-12,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Later Than Planned (IRE),Adam Caffrey,0,A McGuinness,2nd,5 1/2 l,2,8-13,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:10,N/A,17:10,Good (Good To Firm In Places),6f,Ipanema Queen (IRE),W M Lordan,0,A Murray,1st,N/A,2,8-8,-,True,176,35
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Island Girl (IRE),J M Sheridan,0,J A Stack,13th,16 l,3,8-9,73,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Heart Of Darkness,Adam Caffrey,0,A McGuinness,12th,4 1/2 l,4,9-5,74,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Kodilicious (IRE),S Foley,0,Mrs J Harrington,11th,Neck,3,9-13p1,91,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Tai Tam Bay (IRE),Alexandra Egan,10,E & P Harty,10th,1 l,4,9-5,74,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Miracle Beauty (IRE),D McMonagle,0,J P O'Brien,9th,Neck,3,9-4p1,82,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Rosato (IRE),N G McCullagh,0,Charles Weld,8th,Short Head,4,8-7,61,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Li Ban (IRE),R Whearty,3,A Murray,7th,1/2 l,3,9-3,81,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Greek Flower (IRE),J A Powell,3,J Feane,6th,Neck,6,10-0,83,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Ethical Code (USA),C T Keane,0,G M Lyons,5th,1/2 l,3,9-5,83,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Staysound Susie (IRE),A J Slattery,0,A Slattery,4th,Neck,4,9-10,79,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Just Before (USA),J A Heffernan,0,W P Browne,3rd,1 l,3,8-13,77,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Back Down Under (IRE),L F Roche,0,P Roche,2nd,4 1/4 l,4,9-9,78,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Brigid's Cloak,P McGettigan,7,J P Murtagh,1st,N/A,3,8-7p,70,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Island Girl (IRE),J M Sheridan,0,J A Stack,13th,16 l,3,8-9,73,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Heart Of Darkness,Adam Caffrey,0,A McGuinness,12th,4 1/2 l,4,9-5,74,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Kodilicious (IRE),S Foley,0,Mrs J Harrington,11th,Neck,3,9-13p1,91,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Tai Tam Bay (IRE),Alexandra Egan,10,E & P Harty,10th,1 l,4,9-5,74,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Miracle Beauty (IRE),D McMonagle,0,J P O'Brien,9th,Neck,3,9-4p1,82,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Rosato (IRE),N G McCullagh,0,Charles Weld,8th,Short Head,4,8-7,61,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Li Ban (IRE),R Whearty,3,A Murray,7th,1/2 l,3,9-3,81,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Greek Flower (IRE),J A Powell,3,J Feane,6th,Neck,6,10-0,83,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Ethical Code (USA),C T Keane,0,G M Lyons,5th,1/2 l,3,9-5,83,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Staysound Susie (IRE),A J Slattery,0,A Slattery,4th,Neck,4,9-10,79,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Just Before (USA),J A Heffernan,0,W P Browne,3rd,1 l,3,8-13,77,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Back Down Under (IRE),L F Roche,0,P Roche,2nd,4 1/4 l,4,9-9,78,True,176,36
Curragh Racing Results | 23rd May 2025 17:45,N/A,17:45,Good,6f,Brigid's Cloak,P McGettigan,7,J P Murtagh,1st,N/A,3,8-7p,70,True,176,36
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Senior Situation,L F Roche,0,M G Quinn,12th,3/4 l,3,9-3,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Boomtown Lad (IRE),Gabriella Hill,10,M G Quinn,11th,1/2 l,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Freelance Dancer (IRE),N M Crosse,0,P J F Murphy,10th,5 1/2 l,4,10-5ht1,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Super Fly,G M Ryan,0,A McCann,9th,7 1/2 l,6,10-5,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Immortal Jock (IRE),G F Carroll,0,A Oliver,8th,1 l,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Quafftide (IRE),R C Colgan,0,S Lavery,7th,Head,3,9-3,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Sheamus Seimhiu (IRE),R P Cleary,0,C Timmons,6th,3 1/2 l,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Valencia (IRE),D McMonagle,0,J P O'Brien,5th,3/4 l,3,9-3,87,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Poweracclaim (IRE),B M Coen,0,J P Murtagh,4th,3/4 l,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Gran Habano (IRE),C T Keane,0,A Murray,3rd,3/4 l,3,9-8,76,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Collecting Coin,S Foley,0,Mrs J Harrington,2nd,Neck,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Fingerpaint,C D Hayes,0,D K Weld,1st,N/A,3,9-3,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Senior Situation,L F Roche,0,M G Quinn,12th,3/4 l,3,9-3,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Boomtown Lad (IRE),Gabriella Hill,10,M G Quinn,11th,1/2 l,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Freelance Dancer (IRE),N M Crosse,0,P J F Murphy,10th,5 1/2 l,4,10-5ht1,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Super Fly,G M Ryan,0,A McCann,9th,7 1/2 l,6,10-5,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Immortal Jock (IRE),G F Carroll,0,A Oliver,8th,1 l,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Quafftide (IRE),R C Colgan,0,S Lavery,7th,Head,3,9-3,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Sheamus Seimhiu (IRE),R P Cleary,0,C Timmons,6th,3 1/2 l,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Valencia (IRE),D McMonagle,0,J P O'Brien,5th,3/4 l,3,9-3,87,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Poweracclaim (IRE),B M Coen,0,J P Murtagh,4th,3/4 l,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Gran Habano (IRE),C T Keane,0,A Murray,3rd,3/4 l,3,9-8,76,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Collecting Coin,S Foley,0,Mrs J Harrington,2nd,Neck,3,9-8,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:20,N/A,18:20,Good,7f,Fingerpaint,C D Hayes,0,D K Weld,1st,N/A,3,9-3,-,True,176,37
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Tiberius Thunder (IRE),C T Keane,0,A Murray,5th,Short Head,3,9-5,101,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Shackleton (IRE),R L Moore,0,A P O'Brien,4th,2 1/2 l,3,9-5,101,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Reyenzi (FR),B M Coen,0,J P Murtagh,3rd,N/A,3,9-5,-,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Emit (IRE),D McMonagle,0,J P O'Brien,2nd,Head,3,9-5t,98,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Thrice (IRE),W M Lordan,0,A P O'Brien,1st,Head,3,9-5b,101,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Tiberius Thunder (IRE),C T Keane,0,A Murray,5th,Short Head,3,9-5,101,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Shackleton (IRE),R L Moore,0,A P O'Brien,4th,2 1/2 l,3,9-5,101,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Reyenzi (FR),B M Coen,0,J P Murtagh,3rd,N/A,3,9-5,-,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Emit (IRE),D McMonagle,0,J P O'Brien,2nd,Head,3,9-5t,98,True,176,38
Curragh Racing Results | 23rd May 2025 18:55,N/A,18:55,Good,1m 2f,Thrice (IRE),W M Lordan,0,A P O'Brien,1st,Head,3,9-5b,101,True,176,38
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Ohailbhic (IRE),N M Crosse,0,J Feane,15th,2 1/2 l,4,8-7,77,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Mickey The Steel,W Joyce,3,Joseph Murray,14th,2 l,7,8-7tp,77,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Gerrit's Gem (IRE),R P Cleary,0,K P Cotter,13th,1 3/4 l,5,8-7,75,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Mehman,D P McDonogh,0,Gerard O'Leary,12th,1 1/2 l,6,8-13,85,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Little Queenie (IRE),R Whearty,3,P W Flynn,11th,Neck,6,9-8,94,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Daamberdiplomat (IRE),B M Coen,0,J P Murtagh,10th,1/2 l,5,9-4,90,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,I Am Superman (IRE),J A Powell,3,M O'Callaghan,9th,Neck,9,9-5t,91,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Collective Power (IRE),Sorcha Woods,7,E Lynam,8th,Head,7,8-10,82,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Dandyville (IRE),S Foley,0,S R B Crawford,7th,Neck,7,9-5,91,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Tango Flare (IRE),J A Heffernan,0,P T Foley,6th,Short Head,6,9-11t,97,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Apache Outlaw (IRE),Adam Caffrey,0,A McGuinness,5th,1/2 l,5,9-0,86,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Heavenly Power (IRE),W M Lordan,0,E Lynam,4th,Neck,7,9-6,92,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Barbapapa (IRE),A J Slattery,0,H De Bromhead,3rd,3/4 l,6,8-10tp,82,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Keke,W J Lee,0,E Lynam,2nd,3 l,5,9-6t,92,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Moltophino (IRE),C D Hayes,0,J A Kinsella,1st,N/A,4,8-7tp,75,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Ohailbhic (IRE),N M Crosse,0,J Feane,15th,2 1/2 l,4,8-7,77,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Mickey The Steel,W Joyce,3,Joseph Murray,14th,2 l,7,8-7tp,77,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Gerrit's Gem (IRE),R P Cleary,0,K P Cotter,13th,1 3/4 l,5,8-7,75,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Mehman,D P McDonogh,0,Gerard O'Leary,12th,1 1/2 l,6,8-13,85,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Little Queenie (IRE),R Whearty,3,P W Flynn,11th,Neck,6,9-8,94,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Daamberdiplomat (IRE),B M Coen,0,J P Murtagh,10th,1/2 l,5,9-4,90,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,I Am Superman (IRE),J A Powell,3,M O'Callaghan,9th,Neck,9,9-5t,91,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Collective Power (IRE),Sorcha Woods,7,E Lynam,8th,Head,7,8-10,82,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Dandyville (IRE),S Foley,0,S R B Crawford,7th,Neck,7,9-5,91,True,176,39
Curragh Racing Results | 23rd May 2025 19:25,N/A,19:25,Good,6f,Tango Flare (IRE),J A Heffernan,0,P T Foley,6th,Short Head,6,9-11t,97,True,176,39
