track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Letiza (IRE),W Joyce,0,Thomas Dowling,NR,N/A,4,9-11p,70,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Hokusai (IRE),C Stone-Walsh,0,N Meade,13th,1/2 l,4,9-11tb,70,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Naisiun (IRE),C Horgan,4,J S Bolger,12th,3/4 l,3,8-7,59,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Vivacious Lady (IRE),C J MacRedmond,0,M Halford & T Collins,11th,1 l,3,9-0,66,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Hasten Slowly (IRE),C D Fahy,7,J C McConnell,10th,1/2 l,4,9-9,68,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,God Knows (IRE),C Geerdharry,7,R Brabazon,9th,1/2 l,5,9-13,72,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,The Mpex Kid (IRE),D S O'Sullivan,7,Ciaran Murphy,8th,1 3/4 l,8,9-8,67,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Endless Pursuit (IRE),K G Kennedy,2,Mrs J Harrington,7th,1 l,4,9-7,66,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Dark Note,J S Dalton,7,A Slattery,6th,1 l,5,10-0,73,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Quiz Test (IRE),M W Hassett,0,S Byrne,5th,Neck,4,10-0,73,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Daboya (IRE),J Kearney,0,D K Weld,4th,2 1/2 l,3,9-10p1,76,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Spring Collection,Amy Jo Hayes,4,D H Kelly,3rd,1/2 l,4,9-0,59,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Red Trail (IRE),H J Horgan,0,A McNamara,2nd,Neck,5,9-9,68,True,136,9
Naas Racing Results | 25th August 2024 16:17,N/A,16:17,Good To Yielding (Yielding In Places),1m 2f 84y,Chicago Storm,J Cleary,2,C Timmons,1st,N/A,5,8-13tp,58,True,136,9
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Abbey Actress (IRE),K G Kennedy,2,John O'Donoghue,NR,N/A,3,8-12,66,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Bang Po (IRE),S McAteer,7,L McAteer,14th,4 3/4 l,4,8-12,59,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Newfire (IRE),P A Harnett,0,R P Cody,13th,1 3/4 l,3,8-11,65,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Red Special (USA),D J Power,7,W McCreery,12th,3 1/4 l,4,9-10,71,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Highland King (IRE),C D Fahy,7,J C McConnell,11th,Neck,5,9-4,65,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Castleheath (IRE),C J MacRedmond,0,Ciaran Murphy,10th,1 3/4 l,3,9-5p1,73,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Best Law (IRE),W Joyce,0,G M Lyons,9th,Neck,3,9-4b,72,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Beautiful Chaos (IRE),S R Markey,7,R O'Sullivan,8th,1 l,6,9-3,64,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Mooretown Lad (IRE),M W Hassett,0,M O'Callaghan,6th,Neck,4,9-12,73,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Miss Paloma,R Donaghue-Leahy,7,H De Bromhead,6th,Dead Heat,6,9-10,71,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Sportingsilvermine (IRE),Amy Jo Hayes,4,D Hogan,5th,Neck,3,9-4,72,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Silkies Sib (IRE),S Coen,7,T Doyle,4th,1 1/4 l,4,9-4h,65,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Proleek Prince (IRE),H J Horgan,0,M Rice,3rd,1 1/4 l,4,9-4,65,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,You Owe Me Money (IRE),J Cleary,2,Gerard O'Leary,2nd,1/2 l,6,10-0,75,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Complete Fiction (IRE),Neve Bennett,7,J P Fahey,1st,N/A,7,9-13,74,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Abbey Actress (IRE),K G Kennedy,2,John O'Donoghue,NR,N/A,3,8-12,66,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Bang Po (IRE),S McAteer,7,L McAteer,14th,4 3/4 l,4,8-12,59,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Newfire (IRE),P A Harnett,0,R P Cody,13th,1 3/4 l,3,8-11,65,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Red Special (USA),D J Power,7,W McCreery,12th,3 1/4 l,4,9-10,71,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Highland King (IRE),C D Fahy,7,J C McConnell,11th,Neck,5,9-4,65,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Castleheath (IRE),C J MacRedmond,0,Ciaran Murphy,10th,1 3/4 l,3,9-5p1,73,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Best Law (IRE),W Joyce,0,G M Lyons,9th,Neck,3,9-4b,72,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Beautiful Chaos (IRE),S R Markey,7,R O'Sullivan,8th,1 l,6,9-3,64,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Mooretown Lad (IRE),M W Hassett,0,M O'Callaghan,6th,Neck,4,9-12,73,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Miss Paloma,R Donaghue-Leahy,7,H De Bromhead,6th,Dead Heat,6,9-10,71,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Sportingsilvermine (IRE),Amy Jo Hayes,4,D Hogan,5th,Neck,3,9-4,72,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Silkies Sib (IRE),S Coen,7,T Doyle,4th,1 1/4 l,4,9-4h,65,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Proleek Prince (IRE),H J Horgan,0,M Rice,3rd,1 1/4 l,4,9-4,65,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,You Owe Me Money (IRE),J Cleary,2,Gerard O'Leary,2nd,1/2 l,6,10-0,75,True,136,10
Naas Racing Results | 25th August 2024 16:52,N/A,16:52,Good To Yielding (Yielding In Places),1m 2f 84y,Complete Fiction (IRE),Neve Bennett,7,J P Fahey,1st,N/A,7,9-13,74,True,136,10
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Shayzann (IRE),B M Coen,0,J P Murtagh,NR,N/A,4,10-0ht1,93,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,See Me Through (IRE),S Foley,0,R O'Sullivan,7th,13 l,4,9-2p,81,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Casanova,Adam Caffrey,3,A McGuinness,6th,1 1/2 l,8,9-5,84,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Getawiggleon (FR),J J G Ryan,3,M Hourigan,5th,2 3/4 l,7,9-3,82,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Tamrat (IRE),C T Keane,0,G M Lyons,4th,5 1/2 l,3,9-2b1,88,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Slieve Binnian (IRE),R P Whelan,0,M Halford & T Collins,3rd,Short Head,4,9-3,82,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Thor's Hammer (IRE),D P McDonogh,0,J P Murtagh,2nd,3 1/2 l,3,8-10b,82,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Fiver Friday (IRE),M W Hassett,5,Paul Traynor,1st,N/A,4,9-5h,84,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Shayzann (IRE),B M Coen,0,J P Murtagh,NR,N/A,4,10-0ht1,93,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,See Me Through (IRE),S Foley,0,R O'Sullivan,7th,13 l,4,9-2p,81,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Casanova,Adam Caffrey,3,A McGuinness,6th,1 1/2 l,8,9-5,84,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Getawiggleon (FR),J J G Ryan,3,M Hourigan,5th,2 3/4 l,7,9-3,82,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Tamrat (IRE),C T Keane,0,G M Lyons,4th,5 1/2 l,3,9-2b1,88,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Slieve Binnian (IRE),R P Whelan,0,M Halford & T Collins,3rd,Short Head,4,9-3,82,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Thor's Hammer (IRE),D P McDonogh,0,J P Murtagh,2nd,3 1/2 l,3,8-10b,82,True,136,11
Naas Racing Results | 25th August 2024 17:27,N/A,17:27,Good To Yielding (Yielding In Places),1m 2f 84y,Fiver Friday (IRE),M W Hassett,5,Paul Traynor,1st,N/A,4,9-5h,84,True,136,11
N/A,N/A,13:55,Good,2m 1f 165y,Fire Force (IRE),E Walsh,0,Ciaran Murphy,NR,N/A,5,11-5t1,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Ruby Mouse (IRE),J Coen,3,Peter Fahey,PU,N/A,5,11-5,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Barney Van Winkle (IRE),J Kearney,5,John G Carr,12th,11 l,9,11-12ht,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Our Shane (IRE),D A Kidd,7,J C McConnell,11th,13 l,5,11-12t1,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Monty Cross (IRE),P T Enright,0,E J O'Grady,10th,32 l,6,11-12b1,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Ravelli (IRE),B W Harvey,0,J C McConnell,9th,2 l,4,11-9,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Rocket Ruby (IRE),C P Millar,7,C Collins,8th,11 l,4,11-9,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Willwetakeher (IRE),P M O'Brien,7,Tom Dreaper,7th,25 l,5,11-5t1,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Ovidstown Hill,F Brickley,7,G Elliott,6th,4 l,5,11-12,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Jim's Cracker,P J O'Hanlon,0,D A McLoughlin,5th,8 l,4,11-9,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Clongorey (IRE),J W Kennedy,0,G Elliott,4th,5 1/2 l,4,11-2,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Gortmore Lady (IRE),C Stone-Walsh,5,C Collins,3rd,10 l,4,11-2,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,In The Trenches,K M Donoghue,0,G P Cromwell,2nd,25 l,4,11-9,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Chart Topper (FR),Mr P W Mullins,0,W P Mullins,1st,N/A,5,11-12,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Fire Force (IRE),E Walsh,0,Ciaran Murphy,NR,N/A,5,11-5t1,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Ruby Mouse (IRE),J Coen,3,Peter Fahey,PU,N/A,5,11-5,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Barney Van Winkle (IRE),J Kearney,5,John G Carr,12th,11 l,9,11-12ht,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Our Shane (IRE),D A Kidd,7,J C McConnell,11th,13 l,5,11-12t1,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Monty Cross (IRE),P T Enright,0,E J O'Grady,10th,32 l,6,11-12b1,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Ravelli (IRE),B W Harvey,0,J C McConnell,9th,2 l,4,11-9,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Rocket Ruby (IRE),C P Millar,7,C Collins,8th,11 l,4,11-9,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Willwetakeher (IRE),P M O'Brien,7,Tom Dreaper,7th,25 l,5,11-5t1,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Ovidstown Hill,F Brickley,7,G Elliott,6th,4 l,5,11-12,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Jim's Cracker,P J O'Hanlon,0,D A McLoughlin,5th,8 l,4,11-9,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Clongorey (IRE),J W Kennedy,0,G Elliott,4th,5 1/2 l,4,11-2,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Gortmore Lady (IRE),C Stone-Walsh,5,C Collins,3rd,10 l,4,11-2,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,In The Trenches,K M Donoghue,0,G P Cromwell,2nd,25 l,4,11-9,-,True,136,12
N/A,N/A,13:55,Good,2m 1f 165y,Chart Topper (FR),Mr P W Mullins,0,W P Mullins,1st,N/A,5,11-12,-,True,136,12
N/A,N/A,14:30,Good,2m 1f 165y,Ivane (FR),E Walsh,0,Ciaran Murphy,NR,N/A,6,11-7,87,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Sandyman,A Harvey,5,J C McConnell,NR,N/A,8,12-0,94,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Nawraq (IRE),P Cleary,7,K Smith,9th,28 l,5,11-7tp,87,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,St Denis's Well (IRE),K M Donoghue,0,Ian Donoghue,8th,25 l,6,11-11tp,91,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Ragmans Corner (IRE),J Kearney,5,G Keane,7th,5 l,5,12-0,94,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Thunder Rose (IRE),J Coen,3,Peter Fahey,6th,4 1/4 l,5,11-9p1,89,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Moulane West (IRE),P T Enright,0,M M McNiff,5th,Neck,8,11-9t,89,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Red Striker (IRE),K Callaghan,5,J Barcoe,4th,6 l,9,11-8,88,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Thebeautifulgame,C P Millar,7,C Collins,3rd,2 1/4 l,5,11-5p1,85,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Init Together,C Stone-Walsh,5,S Fahey,2nd,5 l,6,11-4,84,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Mr Sundancer,P Hanlon,7,J J Hanlon,1st,N/A,6,11-13h,93,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Ivane (FR),E Walsh,0,Ciaran Murphy,NR,N/A,6,11-7,87,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Sandyman,A Harvey,5,J C McConnell,NR,N/A,8,12-0,94,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Nawraq (IRE),P Cleary,7,K Smith,9th,28 l,5,11-7tp,87,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,St Denis's Well (IRE),K M Donoghue,0,Ian Donoghue,8th,25 l,6,11-11tp,91,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Ragmans Corner (IRE),J Kearney,5,G Keane,7th,5 l,5,12-0,94,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Thunder Rose (IRE),J Coen,3,Peter Fahey,6th,4 1/4 l,5,11-9p1,89,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Moulane West (IRE),P T Enright,0,M M McNiff,5th,Neck,8,11-9t,89,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Red Striker (IRE),K Callaghan,5,J Barcoe,4th,6 l,9,11-8,88,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Thebeautifulgame,C P Millar,7,C Collins,3rd,2 1/4 l,5,11-5p1,85,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Init Together,C Stone-Walsh,5,S Fahey,2nd,5 l,6,11-4,84,True,136,13
N/A,N/A,14:30,Good,2m 1f 165y,Mr Sundancer,P Hanlon,7,J J Hanlon,1st,N/A,6,11-13h,93,True,136,13
N/A,N/A,15:05,Good,2m 5f 180y,Castlenagree (IRE),B W Harvey,0,D M Christie,PU,N/A,7,11-4t,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Eco Pete (IRE),T Power Roche,7,P J Rothwell,6th,12 l,7,11-12p,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Jeu De Pic (FR),M J M O'Sullivan,0,T Cooper,5th,8 l,5,11-4p1,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Jackady (FR),P Byrnes,0,Ian Donoghue,4th,1/2 l,5,11-4h1,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Sir Jimmy Mac (IRE),C Stone-Walsh,5,P W Flynn,3rd,4 l,8,11-12,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Stormbreaker,P Townend,0,W P Mullins,2nd,15 l,5,11-12,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Intense Approach,A Harvey,5,J C McConnell,1st,N/A,5,11-12,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Castlenagree (IRE),B W Harvey,0,D M Christie,PU,N/A,7,11-4t,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Eco Pete (IRE),T Power Roche,7,P J Rothwell,6th,12 l,7,11-12p,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Jeu De Pic (FR),M J M O'Sullivan,0,T Cooper,5th,8 l,5,11-4p1,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Jackady (FR),P Byrnes,0,Ian Donoghue,4th,1/2 l,5,11-4h1,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Sir Jimmy Mac (IRE),C Stone-Walsh,5,P W Flynn,3rd,4 l,8,11-12,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Stormbreaker,P Townend,0,W P Mullins,2nd,15 l,5,11-12,-,True,136,14
N/A,N/A,15:05,Good,2m 5f 180y,Intense Approach,A Harvey,5,J C McConnell,1st,N/A,5,11-12,-,True,136,14
N/A,N/A,15:40,Good,2m 5f 180y,Tankardstown Diva (IRE),K M Donoghue,0,Ian Donoghue,NR,N/A,5,11-9,104,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Quite Incredible (IRE),P J O'Hanlon,0,D A McLoughlin,9th,3 l,8,11-12v1,107,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Circus Act (IRE),G Brouder,5,J Nash,8th,1 1/4 l,5,11-0b,95,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Hob's Angel (IRE),K Callaghan,5,J Barcoe,7th,1 3/4 l,8,10-2,83,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Dunleer Phoenix (IRE),F Brickley,7,G Elliott,6th,2 1/2 l,8,10-3p,84,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Mustameet Secret (IRE),Mr E Finegan,7,H P Finegan,4th,Dead Heat,7,10-9,90,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Andys Flame,A Harvey,5,J C McConnell,4th,10 l,7,12-0t,109,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Pettigo (IRE),P T Enright,0,M M McNiff,3rd,3/4 l,6,10-4t,85,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,My Policy (IRE),P M O'Brien,7,P Rooney,2nd,17 l,5,11-0p,95,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Portnacoo (IRE),P Hanlon,7,H Smyth,1st,N/A,6,10-3,84,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Tankardstown Diva (IRE),K M Donoghue,0,Ian Donoghue,NR,N/A,5,11-9,104,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Quite Incredible (IRE),P J O'Hanlon,0,D A McLoughlin,9th,3 l,8,11-12v1,107,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Circus Act (IRE),G Brouder,5,J Nash,8th,1 1/4 l,5,11-0b,95,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Hob's Angel (IRE),K Callaghan,5,J Barcoe,7th,1 3/4 l,8,10-2,83,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Dunleer Phoenix (IRE),F Brickley,7,G Elliott,6th,2 1/2 l,8,10-3p,84,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Mustameet Secret (IRE),Mr E Finegan,7,H P Finegan,4th,Dead Heat,7,10-9,90,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Andys Flame,A Harvey,5,J C McConnell,4th,10 l,7,12-0t,109,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Pettigo (IRE),P T Enright,0,M M McNiff,3rd,3/4 l,6,10-4t,85,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,My Policy (IRE),P M O'Brien,7,P Rooney,2nd,17 l,5,11-0p,95,True,136,15
N/A,N/A,15:40,Good,2m 5f 180y,Portnacoo (IRE),P Hanlon,7,H Smyth,1st,N/A,6,10-3,84,True,136,15
N/A,N/A,16:15,Good,2m 3f 100y,Bukhill (IRE),A Harvey,2,Peter Fahey,F,N/A,6,11-12p,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Pacini,J Coen,0,G Elliott,5th,89 l,4,11-1b,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Red Ball Of Fire (IRE),L Quinlan,0,M M McNiff,4th,4 3/4 l,7,11-5b,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Air Drop (IRE),C P Millar,4,G Elliott,3rd,3/4 l,6,11-5,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Watch The Weather,P Hanlon,4,R P Cody,2nd,Neck,8,11-12t,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Prairie Dancer (IRE),C Stone-Walsh,2,J P O'Brien,1st,N/A,6,11-12b,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Bukhill (IRE),A Harvey,2,Peter Fahey,F,N/A,6,11-12p,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Pacini,J Coen,0,G Elliott,5th,89 l,4,11-1b,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Red Ball Of Fire (IRE),L Quinlan,0,M M McNiff,4th,4 3/4 l,7,11-5b,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Air Drop (IRE),C P Millar,4,G Elliott,3rd,3/4 l,6,11-5,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Watch The Weather,P Hanlon,4,R P Cody,2nd,Neck,8,11-12t,-,True,136,16
N/A,N/A,16:15,Good,2m 3f 100y,Prairie Dancer (IRE),C Stone-Walsh,2,J P O'Brien,1st,N/A,6,11-12b,-,True,136,16
N/A,N/A,16:50,Good,2m 3f 100y,The Declaimer (IRE),K M Donoghue,0,Tom Dreaper,PU,N/A,8,12-0,95,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Robin De Roost (IRE),C McGivern,7,T Gibney,PU,N/A,14,10-8t,75,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Coastguard Lady (IRE),T Power Roche,7,P J Rothwell,9th,4 1/2 l,6,10-13tp,80,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Wee Jerry (IRE),C Stone-Walsh,5,Ian Donoghue,8th,2 1/2 l,8,10-11,78,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Moneynabane (IRE),P Byrnes,0,Ian Donoghue,7th,2 3/4 l,6,11-7p1,88,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Desert Heather (IRE),S Fitzgerald,0,R Sweeney,6th,1/2 l,8,11-5t,86,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Fr Gilligansvoyge,J Coen,3,John G Carr,5th,3 1/4 l,11,10-0tv,67,True,136,17
