track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Ikalimix (FR),M J M O'Sullivan,0,E M O'Sullivan,5th,2 l,6,11-12,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Ollie La Ba Ba (IRE),G B Noonan,5,E McCarthy,4th,11 l,6,11-12t,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Malbay Madness (IRE),D Meyler,0,E Mullins,3rd,10 l,4,11-7h,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Handlethekettle (IRE),J G Gilligan,7,P F Cashman,2nd,6 1/2 l,5,11-12,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Feud,D E Mullins,0,R O'Brien,1st,N/A,4,11-7,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Brave Endeavour (IRE),J P Shinnick,7,Miss M Harding,PU,N/A,7,11-12b1,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Florida Strait (IRE),S W Flanagan,0,D H Kelly,15th,16 l,4,11-7,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Supervalue Park (IRE),J J Slevin,0,Ms Debbie Hartnett,14th,29 l,4,11-7,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Tic Tac Toe (IRE),L Quinlan,3,R Hackett,13th,2 1/2 l,4,11-7,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Ilbdare (IRE),P T Enright,0,M M McNiff,12th,1/2 l,4,11-7,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Bold Brook (IRE),J C Gainford,0,C Collins,11th,Neck,6,11-12,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Major Barry (IRE),B Hayes,0,John E & Kiely,10th,1/2 l,6,11-12ht,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Eastmore,P Byrnes,3,C Byrnes,9th,23 l,4,11-7,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Southern Point (IRE),D J O'Keeffe,0,A O'Grady,8th,4 3/4 l,6,11-12,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Autocrat (IRE),D King,0,D Hogan,7th,1 1/2 l,4,11-7p,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Frankendael,C P McNamara,0,E McNamara,6th,5 l,5,11-12,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Ikalimix (FR),M J M O'Sullivan,0,E M O'Sullivan,5th,2 l,6,11-12,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Ollie La Ba Ba (IRE),G B Noonan,5,E McCarthy,4th,11 l,6,11-12t,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Malbay Madness (IRE),D Meyler,0,E Mullins,3rd,10 l,4,11-7h,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Handlethekettle (IRE),J G Gilligan,7,P F Cashman,2nd,6 1/2 l,5,11-12,-,True,121,1
Listowel Racing Results | 3rd June 2024 14:50,N/A,14:50,Good To Yielding  Hurdle (Turf),2m,Feud,D E Mullins,0,R O'Brien,1st,N/A,4,11-7,-,True,121,1
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Only A Dollar (IRE),S F O'Keeffe,0,S Aherne,NR,N/A,6,11-11,106,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Nurse Garvey (IRE),J C Gainford,0,D M Christie,PU,N/A,6,10-6,87,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Dark Image,R Deegan,0,E McCarthy,13th,7 1/2 l,6,10-13t,94,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Onebrightbluerose (IRE),Kevin A Murphy,7,Patrick Cronin,12th,1 1/4 l,5,10-6p,87,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,New York Style,M P Walsh,0,H De Bromhead,11th,10 l,7,11-9,104,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Out Of The Park (IRE),D J O'Keeffe,0,A O'Grady,10th,9 l,6,10-3p,84,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Fire Coral,J P Shinnick,7,C W J Farrell,9th,Short Head,5,10-3,84,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Teagarden Jazz,C P Millar,7,G Elliott,8th,3 1/4 l,5,11-13t,108,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Brilliant Question (IRE),R P Geoghegan,7,K A Heffernan,7th,2 1/2 l,7,10-6t,87,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Boxcar Molly (IRE),G B Noonan,5,E McCarthy,6th,Neck,5,10-2,83,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Our Girl Sal (IRE),J Coen,5,Peter Fahey,5th,9 l,6,10-10,91,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Spyfall (FR),S D Torrens,0,P J Rothwell,4th,5 1/2 l,5,10-3b1,84,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Evening's Empire (IRE),R A Doyle,0,E & P Harty,3rd,2 3/4 l,4,10-12h,98,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,It'sallabouteve (IRE),Mr C J Shine,7,Brendan Walsh,2nd,4 3/4 l,8,11-6p,101,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Redwood Queen (IRE),P Byrnes,3,C Byrnes,1st,N/A,7,12-2,111,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Only A Dollar (IRE),S F O'Keeffe,0,S Aherne,NR,N/A,6,11-11,106,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Nurse Garvey (IRE),J C Gainford,0,D M Christie,PU,N/A,6,10-6,87,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Dark Image,R Deegan,0,E McCarthy,13th,7 1/2 l,6,10-13t,94,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Onebrightbluerose (IRE),Kevin A Murphy,7,Patrick Cronin,12th,1 1/4 l,5,10-6p,87,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,New York Style,M P Walsh,0,H De Bromhead,11th,10 l,7,11-9,104,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Out Of The Park (IRE),D J O'Keeffe,0,A O'Grady,10th,9 l,6,10-3p,84,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Fire Coral,J P Shinnick,7,C W J Farrell,9th,Short Head,5,10-3,84,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Teagarden Jazz,C P Millar,7,G Elliott,8th,3 1/4 l,5,11-13t,108,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Brilliant Question (IRE),R P Geoghegan,7,K A Heffernan,7th,2 1/2 l,7,10-6t,87,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Boxcar Molly (IRE),G B Noonan,5,E McCarthy,6th,Neck,5,10-2,83,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Our Girl Sal (IRE),J Coen,5,Peter Fahey,5th,9 l,6,10-10,91,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Spyfall (FR),S D Torrens,0,P J Rothwell,4th,5 1/2 l,5,10-3b1,84,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Evening's Empire (IRE),R A Doyle,0,E & P Harty,3rd,2 3/4 l,4,10-12h,98,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,It'sallabouteve (IRE),Mr C J Shine,7,Brendan Walsh,2nd,4 3/4 l,8,11-6p,101,True,121,2
Listowel Racing Results | 3rd June 2024 15:20,N/A,15:20,Good To Yielding,2m,Redwood Queen (IRE),P Byrnes,3,C Byrnes,1st,N/A,7,12-2,111,True,121,2
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,My Gaffer (IRE),J J Slevin,0,J P Ryan,NR,N/A,6,10-7,114,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Wouldn't You Agree (IRE),M M McDonagh,0,E Griffin,PU,N/A,10,10-10tb1,117,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Indiana Jones (FR),D J O'Keeffe,0,M F Morris,11th,11 l,8,11-7tp,128,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Summer Tide (IRE),P Byrnes,3,C Byrnes,10th,8 1/2 l,9,10-4,111,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,The Wallpark (IRE),Sam Ewing,0,G Elliott,9th,9 l,6,11-10,131,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Woodstream Lad (IRE),P J O'Hanlon,3,P J Rothwell,8th,1 l,7,10-2b,109,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Comfort Zone (IRE),S D Torrens,0,J P O'Brien,7th,1 3/4 l,5,11-10,131,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Fiveonefive (IRE),C P Millar,7,C Collins,6th,1 1/2 l,6,11-4p,125,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,The Names Jock (IRE),Mr J L Gleeson,5,John E & Kiely,5th,2 3/4 l,8,10-9,116,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,So Scottish (FR),M P Walsh,0,E Mullins,4th,7 l,7,11-9p,130,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,War Correspondent (IRE),D Meyler,0,R P Cody,3rd,2 1/4 l,5,10-7t,114,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Senecia (IRE),P T Enright,0,V Halley,2nd,1 1/4 l,7,11-12,133,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Minx Tiara (IRE),S W Flanagan,0,D M O'Brien,1st,N/A,9,11-7,128,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,My Gaffer (IRE),J J Slevin,0,J P Ryan,NR,N/A,6,10-7,114,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Wouldn't You Agree (IRE),M M McDonagh,0,E Griffin,PU,N/A,10,10-10tb1,117,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Indiana Jones (FR),D J O'Keeffe,0,M F Morris,11th,11 l,8,11-7tp,128,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Summer Tide (IRE),P Byrnes,3,C Byrnes,10th,8 1/2 l,9,10-4,111,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,The Wallpark (IRE),Sam Ewing,0,G Elliott,9th,9 l,6,11-10,131,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Woodstream Lad (IRE),P J O'Hanlon,3,P J Rothwell,8th,1 l,7,10-2b,109,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Comfort Zone (IRE),S D Torrens,0,J P O'Brien,7th,1 3/4 l,5,11-10,131,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Fiveonefive (IRE),C P Millar,7,C Collins,6th,1 1/2 l,6,11-4p,125,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,The Names Jock (IRE),Mr J L Gleeson,5,John E & Kiely,5th,2 3/4 l,8,10-9,116,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,So Scottish (FR),M P Walsh,0,E Mullins,4th,7 l,7,11-9p,130,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,War Correspondent (IRE),D Meyler,0,R P Cody,3rd,2 1/4 l,5,10-7t,114,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Senecia (IRE),P T Enright,0,V Halley,2nd,1 1/4 l,7,11-12,133,True,121,3
Listowel Racing Results | 3rd June 2024 15:50,N/A,15:50,Good To Yielding,2m,Minx Tiara (IRE),S W Flanagan,0,D M O'Brien,1st,N/A,9,11-7,128,True,121,3
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Maxxum (IRE),C P Millar,7,G Elliott,PU,N/A,7,11-6,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Visionarian (IRE),K M Donoghue,0,G P Cromwell,PU,N/A,9,11-12,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Fury Road (IRE),J C Gainford,0,G Elliott,PU,N/A,10,11-2tp,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,French Dynamite (FR),D J O'Keeffe,0,M F Morris,4th,14 l,9,11-2tp,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Idas Boy (IRE),Sam Ewing,0,N Meade,3rd,16 l,10,11-2,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Saint Sam (FR),D E Mullins,0,W P Mullins,2nd,5 l,7,11-12h,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Easy Game (FR),P Townend,0,W P Mullins,1st,N/A,10,11-12p,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Maxxum (IRE),C P Millar,7,G Elliott,PU,N/A,7,11-6,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Visionarian (IRE),K M Donoghue,0,G P Cromwell,PU,N/A,9,11-12,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Fury Road (IRE),J C Gainford,0,G Elliott,PU,N/A,10,11-2tp,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,French Dynamite (FR),D J O'Keeffe,0,M F Morris,4th,14 l,9,11-2tp,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Idas Boy (IRE),Sam Ewing,0,N Meade,3rd,16 l,10,11-2,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Saint Sam (FR),D E Mullins,0,W P Mullins,2nd,5 l,7,11-12h,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:20,N/A,16:20,Good (Good To Yielding In Places),2m 3f,Easy Game (FR),P Townend,0,W P Mullins,1st,N/A,10,11-12p,-,True,121,4
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Vaucelet (FR),Mr S Cotter,7,D M Christie,UR,N/A,9,12-3,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Petite Mike (IRE),Mr C J Shine,7,G Ahern,PU,N/A,6,11-7,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Autumn Philtre (IRE),Mr M J Sweeney,7,Charlie Keegan,PU,N/A,8,11-7p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,First Touch (IRE),Mr F Maguire,0,D Commins,PU,N/A,12,11-7,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Midnight Maestro,Mr D M Russell,7,E Bolger,PU,N/A,12,11-11,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Big Girl Betty (IRE),Mr J C Barry,3,M M McNiff,F,N/A,6,11-4,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Nice To Meet (IRE),Mr P W Gleeson,7,M J O'Connor,F,N/A,8,11-11p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Leading Legend (IRE),Mr T P Aherne,7,E M O'Sullivan,8th,61 l,7,11-7b1,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Younowhatimean (IRE),Mr A P Ryan,7,E McCarthy,7th,38 l,7,11-7,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Mellow Glory (IRE),Mr B T Stone,7,Peter Maher,6th,28 l,7,11-7p1,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Battleoverdoyen (IRE),Mr J M Halford,7,G Elliott,5th,13 l,11,11-7t,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Hardline (IRE),Mr J H Williamson,7,G Elliott,4th,1 1/4 l,12,11-7p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Earths Furies (IRE),Mr Alan O'Sullivan,7,E M O'Sullivan,3rd,20 l,8,11-7p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Early Doors (FR),Mr D O'Connor,0,E Bolger,2nd,1 3/4 l,11,11-11p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Jeremy Pass (IRE),Mr P A King,5,S Curling,1st,N/A,9,11-7,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Vaucelet (FR),Mr S Cotter,7,D M Christie,UR,N/A,9,12-3,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Petite Mike (IRE),Mr C J Shine,7,G Ahern,PU,N/A,6,11-7,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Autumn Philtre (IRE),Mr M J Sweeney,7,Charlie Keegan,PU,N/A,8,11-7p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,First Touch (IRE),Mr F Maguire,0,D Commins,PU,N/A,12,11-7,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Midnight Maestro,Mr D M Russell,7,E Bolger,PU,N/A,12,11-11,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Big Girl Betty (IRE),Mr J C Barry,3,M M McNiff,F,N/A,6,11-4,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Nice To Meet (IRE),Mr P W Gleeson,7,M J O'Connor,F,N/A,8,11-11p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Leading Legend (IRE),Mr T P Aherne,7,E M O'Sullivan,8th,61 l,7,11-7b1,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Younowhatimean (IRE),Mr A P Ryan,7,E McCarthy,7th,38 l,7,11-7,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Mellow Glory (IRE),Mr B T Stone,7,Peter Maher,6th,28 l,7,11-7p1,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Battleoverdoyen (IRE),Mr J M Halford,7,G Elliott,5th,13 l,11,11-7t,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Hardline (IRE),Mr J H Williamson,7,G Elliott,4th,1 1/4 l,12,11-7p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Earths Furies (IRE),Mr Alan O'Sullivan,7,E M O'Sullivan,3rd,20 l,8,11-7p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Early Doors (FR),Mr D O'Connor,0,E Bolger,2nd,1 3/4 l,11,11-11p,-,True,121,5
Listowel Racing Results | 3rd June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),3m,Jeremy Pass (IRE),Mr P A King,5,S Curling,1st,N/A,9,11-7,-,True,121,5
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,D Journey Man (IRE),P Hanlon,7,J J Hanlon,PU,N/A,5,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Imperial Chief (IRE),Mr S Tobin,7,P C O'Connor,7th,33 l,7,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Youre A Derry Girl (IRE),Miss E Cody,7,S G Walsh,6th,2 3/4 l,7,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Moulane A Chroi (IRE),Mr J C Canavan,7,R A Foley,5th,3 1/4 l,5,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Jumble Light (FR),Mr A P Ryan,7,John Hayes,4th,13 l,5,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Therellbguddaysyet (IRE),Mr M J O'Connor,0,M J O'Connor,3rd,2 1/2 l,8,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Mazyad (IRE),Mr J L Gleeson,5,J P O'Brien,2nd,2 3/4 l,6,12-0t,-,True,121,6
